"190715_nuc147unfolding_260 (3B260).X","190715_nuc147unfolding_260 (3B260).Y"190715_nuc147unfolding_260 (3B260).C","190715_nuc147unfolding_260 (3A260).X","190715_nuc147unfolding_260 (3A260).Y"190715_nuc147unfolding_260 (3A260).C","190715_nuc147unfolding_260 (2B260).X","190715_nuc147unfolding_260 (2B260).Y"190715_nuc147unfolding_260 (2B260).C","190715_nuc147unfolding_260 (2A260).X","190715_nuc147unfolding_260 (2A260).Y"190715_nuc147unfolding_260 (2A260).C","190715_nuc147unfolding_260 (1B260).X","190715_nuc147unfolding_260 (1B260).Y"190715_nuc147unfolding_260 (1B260).C","190715_nuc147unfolding_260 (1A260).X","190715_nuc147unfolding_260 (1A260).Y"190715_nuc147unfolding_260 (1A260).C"
"10.49567","18.20000","9.0652e-02","9.86777","18.20000","9.0652e-02","8.85859","18.20000","9.0652e-02","7.78514","18.20000","9.0652e-02","6.77378","18.20000","9.0652e-02","5.67244","18.20000","9.0652e-02"
"10.50668","18.80000","9.3641e-02","9.87268","18.80000","9.3641e-02","8.86618","18.80000","9.3641e-02","7.79826","18.80000","9.3641e-02","6.79033","18.80000","9.3641e-02","5.68349","18.80000","9.3641e-02"
"10.51177","19.40000","9.6629e-02","9.87695","19.40000","9.6629e-02","8.87286","19.40000","9.6629e-02","7.81443","19.40000","9.6629e-02","6.80511","19.40000","9.6629e-02","5.62934","19.40000","9.6629e-02"
"10.51600","20.00000","9.9618e-02","9.88744","20.00000","9.9618e-02","8.87876","20.00000","9.9618e-02","7.82574","20.00000","9.9618e-02","6.81528","20.00000","9.9618e-02","5.65877","20.00000","9.9618e-02"
"10.51900","20.60000","1.0261e-01","9.89131","20.60000","1.0261e-01","8.88415","20.60000","1.0261e-01","7.83649","20.60000","1.0261e-01","6.84279","20.60000","1.0261e-01","5.63852","20.60000","1.0261e-01"
"10.52083","21.20000","1.0560e-01","9.89470","21.20000","1.0560e-01","8.89306","21.20000","1.0560e-01","7.84827","21.20000","1.0560e-01","6.85870","21.20000","1.0560e-01","5.67700","21.20000","1.0560e-01"
"10.52188","21.80000","1.0858e-01","9.89778","21.80000","1.0858e-01","8.89779","21.80000","1.0858e-01","7.85480","21.80000","1.0858e-01","6.86863","21.80000","1.0858e-01","5.68670","21.80000","1.0858e-01"
"10.52259","22.40000","1.1157e-01","9.90081","22.40000","1.1157e-01","8.90248","22.40000","1.1157e-01","7.87331","22.40000","1.1157e-01","6.88502","22.40000","1.1157e-01","5.69589","22.40000","1.1157e-01"
"10.52331","23.00000","1.1456e-01","9.90375","23.00000","1.1456e-01","8.90713","23.00000","1.1456e-01","7.88356","23.00000","1.1456e-01","6.90920","23.00000","1.1456e-01","5.69172","23.00000","1.1456e-01"
"10.52411","23.60000","1.1755e-01","9.90679","23.60000","1.1755e-01","8.91201","23.60000","1.1755e-01","7.89755","23.60000","1.1755e-01","6.91788","23.60000","1.1755e-01","5.72068","23.60000","1.1755e-01"
"10.52490","24.20000","1.2054e-01","9.90986","24.20000","1.2054e-01","8.91689","24.20000","1.2054e-01","7.91207","24.20000","1.2054e-01","6.92886","24.20000","1.2054e-01","5.73831","24.20000","1.2054e-01"
"10.52616","24.80000","1.2353e-01","9.91289","24.80000","1.2353e-01","8.92172","24.80000","1.2353e-01","7.91508","24.80000","1.2353e-01","6.94272","24.80000","1.2353e-01","5.74100","24.80000","1.2353e-01"
"10.52786","25.40000","1.2651e-01","9.91577","25.40000","1.2651e-01","8.92669","25.40000","1.2651e-01","7.92201","25.40000","1.2651e-01","6.94515","25.40000","1.2651e-01","5.73338","25.40000","1.2651e-01"
"10.53072","26.00000","1.2950e-01","9.91848","26.00000","1.2950e-01","8.93154","26.00000","1.2950e-01","7.92739","26.00000","1.2950e-01","6.95878","26.00000","1.2950e-01","5.71010","26.00000","1.2950e-01"
"10.53418","26.60000","1.3249e-01","9.92090","26.60000","1.3249e-01","8.93647","26.60000","1.3249e-01","7.94152","26.60000","1.3249e-01","6.97691","26.60000","1.3249e-01","5.73637","26.60000","1.3249e-01"
"10.54366","27.20000","1.3548e-01","9.92315","27.20000","1.3548e-01","8.94677","27.20000","1.3548e-01","7.94184","27.20000","1.3548e-01","6.99341","27.20000","1.3548e-01","5.77639","27.20000","1.3548e-01"
"10.54814","27.80000","1.3847e-01","9.93154","27.80000","1.3847e-01","8.95110","27.80000","1.3847e-01","7.94335","27.80000","1.3847e-01","7.00663","27.80000","1.3847e-01","5.75810","27.80000","1.3847e-01"
"10.55278","28.40000","1.4146e-01","9.93381","28.40000","1.4146e-01","8.95514","28.40000","1.4146e-01","7.94897","28.40000","1.4146e-01","7.01580","28.40000","1.4146e-01","5.75012","28.40000","1.4146e-01"
"10.55758","29.00000","1.4445e-01","9.93596","29.00000","1.4445e-01","8.95876","29.00000","1.4445e-01","7.96784","29.00000","1.4445e-01","7.02400","29.00000","1.4445e-01","5.75438","29.00000","1.4445e-01"
"10.56192","29.60000","1.4743e-01","9.93808","29.60000","1.4743e-01","8.96205","29.60000","1.4743e-01","7.97644","29.60000","1.4743e-01","7.03824","29.60000","1.4743e-01","5.75854","29.60000","1.4743e-01"
