191122_Spn1_Nap1dBH_abs (7A280).X,"191122_Spn1_Nap1dBH_abs (7A280).Y""191122_Spn1_Nap1dBH_abs (7A280).C",191122_Spn1_Nap1dBH_abs (7B280).X,"191122_Spn1_Nap1dBH_abs (7B280).Y""191122_Spn1_Nap1dBH_abs (7B280).C",191122_Spn1_Nap1dBH_abs (6B280).X,"191122_Spn1_Nap1dBH_abs (6B280).Y""191122_Spn1_Nap1dBH_abs (6B280).C",,,
2.65528,52.4,1182.6,4.84776,52.4,1182.6,5.67749,52.4,1011.3
2.65763,53,1196.1,4.85794,53,1196.1,5.68779,53,1022.8
2.65611,53.6,1209.6,4.84815,53.6,1209.6,5.69688,53.6,1034.4
2.66076,54.2,1223.2,4.84838,54.2,1223.2,5.70415,54.2,1046
2.65356,54.8,1236.7,4.84863,54.8,1236.7,5.70986,54.8,1057.6
2.65422,55.4,1250.3,4.84889,55.4,1250.3,5.71518,55.4,1069.2
2.66578,56,1263.8,4.8492,56,1263.8,5.72133,56,1080.7
2.66568,56.6,1277.3,4.84951,56.6,1277.3,5.72919,56.6,1092.3
2.67522,57.2,1290.9,4.84983,57.2,1290.9,5.73813,57.2,1103.9
2.67796,57.8,1304.4,4.85014,57.8,1304.4,5.75538,57.8,1115.5
2.67629,58.4,1318,4.84051,58.4,1318,5.76067,58.4,1127.1
2.67968,59,1331.5,4.85094,59,1331.5,5.76279,59,1138.6
2.68258,59.6,1345.1,4.85165,59.6,1345.1,5.76112,59.6,1150.2
2.67302,60.2,1358.6,4.8521,60.2,1358.6,5.75594,60.2,1161.8
2.68377,60.8,1372.1,4.85258,60.8,1372.1,5.74736,60.8,1173.4
2.69361,61.4,1385.7,4.85315,61.4,1385.7,5.73572,61.4,1185
2.69697,62,1399.2,4.85369,62,1399.2,5.72258,62,1196.5
2.69267,62.6,1412.8,4.84429,62.6,1412.8,5.71051,62.6,1208.1
2.69044,63.2,1426.3,4.84522,63.2,1426.3,5.70315,63.2,1219.7
2.69506,63.8,1439.8,4.85592,63.8,1439.8,5.70189,63.8,1231.3
2.69357,64.4,1453.4,4.85669,64.4,1453.4,5.70408,64.4,1242.9
2.70297,65,1466.9,4.8574,65,1466.9,5.70708,65,1254.4
2.71119,65.6,1480.5,4.85823,65.6,1480.5,5.70995,65.6,1266
2.70433,66.2,1494,4.85909,66.2,1494,5.71318,66.2,1277.6
2.707,66.8,1507.5,4.86006,66.8,1507.5,5.7164,66.8,1289.2
2.7077,67.4,1521.1,4.86146,67.4,1521.1,5.71893,67.4,1300.8
2.70157,68,1534.6,4.85254,68,1534.6,5.7206,68,1312.3
2.69739,68.6,1548.2,4.86365,68.6,1548.2,5.73905,68.6,1323.9
2.71297,69.2,1561.7,4.86479,69.2,1561.7,5.74138,69.2,1335.5
2.72473,69.8,1575.2,4.86602,69.8,1575.2,5.74663,69.8,1347.1
2.73077,70.4,1588.8,4.86793,70.4,1588.8,5.75605,70.4,1358.6
2.72306,71,1602.3,4.86951,71,1602.3,5.76903,71,1370.2
2.73805,71.6,1615.9,4.87099,71.6,1615.9,5.78369,71.6,1381.8
2.73495,72.2,1629.4,4.86258,72.2,1629.4,5.79864,72.2,1393.4
2.74079,72.8,1643,4.87434,72.8,1643,5.8115,72.8,1405
2.72181,73.4,1656.5,4.87641,73.4,1656.5,5.82,73.4,1416.5
2.73536,74,1670,4.87847,74,1670,5.82487,74,1428.1
2.73344,74.6,1683.6,4.88046,74.6,1683.6,5.82782,74.6,1439.7
2.73789,75.2,1697.1,4.88272,75.2,1697.1,5.83012,75.2,1451.3
2.73784,75.8,1710.7,4.87535,75.8,1710.7,5.83132,75.8,1462.9
2.73945,76.4,1724.2,4.88811,76.4,1724.2,5.83041,76.4,1474.4
2.74543,77,1737.7,4.8916,77,1737.7,5.82433,77,1486
2.73271,77.6,1751.3,4.89461,77.6,1751.3,5.81576,77.6,1497.6
2.7477,78.2,1764.8,4.89816,78.2,1764.8,5.81477,78.2,1509.2
2.74273,78.8,1778.4,4.90198,78.8,1778.4,5.82498,78.8,1520.8
2.75104,79.4,1791.9,4.89578,79.4,1791.9,5.8362,79.4,1532.3
2.74803,80,1805.4,4.9109,80,1805.4,5.84943,80,1543.9
2.75683,80.6,1819,4.91585,80.6,1819,5.86482,80.6,1555.5
2.74837,81.2,1832.5,4.92083,81.2,1832.5,5.87861,81.2,1567.1
2.7708,81.8,1846.1,4.92645,81.8,1846.1,5.88515,81.8,1578.7
2.78008,82.4,1859.6,4.93371,82.4,1859.6,5.87969,82.4,1590.2
2.78553,83,1873.1,4.95049,83,1873.1,5.86484,83,1601.8
2.79121,83.6,1886.7,4.9482,83.6,1886.7,5.85286,83.6,1613.4
2.77904,84.2,1900.2,4.95771,84.2,1900.2,5.84793,84.2,1625
2.79149,84.8,1913.8,4.96696,84.8,1913.8,5.84747,84.8,1636.6
2.8065,85.4,1927.3,4.97723,85.4,1927.3,5.85063,85.4,1648.1
2.81253,86,1940.8,4.98851,86,1940.8,5.85291,86,1659.7
2.84223,86.6,1954.4,5.00122,86.6,1954.4,5.86342,86.6,1671.3
2.83285,87.2,1967.9,5.01577,87.2,1967.9,5.87421,87.2,1682.9
2.82716,87.8,1981.5,5.03192,87.8,1981.5,5.87626,87.8,1694.5
2.8123,88.4,1995,5.0503,88.4,1995,5.8415,88.4,1706
2.83194,89,2008.6,5.07125,89,2008.6,5.80964,89,1717.6
2.87151,89.6,2022.1,5.09792,89.6,2022.1,5.81834,89.6,1729.2
2.90121,90.2,2035.6,5.12628,90.2,2035.6,5.86981,90.2,1740.8
2.85468,90.8,2049.2,5.14237,90.8,2049.2,5.93396,90.8,1752.3
2.88171,91.4,2062.7,5.205,91.4,2062.7,5.95638,91.4,1763.9
2.93014,92,2076.3,5.25125,92,2076.3,5.98148,92,1775.5
2.93859,92.6,2089.8,5.30652,92.6,2089.8,5.94427,92.6,1787.1
2.90116,93.2,2103.3,5.37244,93.2,2103.3,5.92023,93.2,1798.7
2.9223,93.8,2116.9,5.45549,93.8,2116.9,6.02656,93.8,1810.2
2.9247,94.4,2130.4,5.55307,94.4,2130.4,6.03656,94.4,1821.8
2.97807,95,2144,5.66905,95,2144,6.12401,95,1833.4
